learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
10000.0,2.861933,0.0,10000.0,92.58999999999999,85.17922101985678,85.30345101150336,85.03937007874015,92.59218770322684,92.5219497426582,92.65682291150529,92.59645185967841,93.03836005682972,92.1545436625271,92.58792393949426,92.01124046567644,93.16460741331207,10000.0,0.0
20000.0,9.620672,0.0,20000.0,94.33,88.66064679670671,88.48263254113346,88.54545454545455,94.3355804241593,94.3384922616076,94.32148222333501,94.3345562203411,95.06943046890723,93.599681971775,94.3366046502176,93.61870788743559,95.0545014129996,20000.0,0.0
30000.0,20.426877,0.0,30000.0,94.22,88.44044388695474,88.36788086134032,88.29011345218801,94.23016174401195,94.16986080290498,94.2692841562562,94.23822798036268,95.18760195758564,93.28885400313972,94.22209688838755,93.17365269461078,95.27054108216433,30000.0,0.0
