,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
Asset_-_Concept_3X_Sudden,0.0005970508440900091,0.00019199663749495526,0.0006080099949985597,0.001132364524644316,0.0018149379455938486,0.001695515017021824,1.6700281466906808e-06,1.4157972332787188e-06,9.339254751459261e-08,1.8853497735716186e-05,0.00013164381691142747,9.314897680441021e-05,6.490939550631496e-06,2.2904447769110377e-05,1.6832942385482124e-05,1.0601301610887532e-06,0.00013003425687297727,8.946231686913162e-05,6.563478433663026e-06,2.286987804604654e-05,1.681299941249062e-05,1.066305331187284e-06,1.7517250727311728e-06,1.5006441149277459e-06,1.0010989080054724e-07
Asset_-_Concept_4X_Gradual,0.000536451017930369,0.00018833903856815067,0.0005472993280630359,0.0010236840095835355,0.0017452128751952913,0.0017728125222651332,1.7459278647096598e-06,1.4487078860704581e-06,8.772772052008168e-08,1.7744361247119358e-05,0.000131250293453448,9.103478912429746e-05,5.739867420798725e-06,2.5513643629091045e-05,1.8445317545843136e-05,1.1104790108363496e-06,0.00010827501700995611,7.65248732641041e-05,5.297321915495741e-06,2.3933619707233177e-05,1.719019465539034e-05,1.02682428479823e-06,1.8444448139702795e-06,1.5355391895961747e-06,9.406524241953527e-08
Asset_-_Concept_4X_Sudden,0.000526980764973942,0.00018691359819813122,0.0005348302773911439,0.001012428202145623,0.0017213777209482638,0.0017303216253370924,1.7860681618189078e-06,1.4559272483287463e-06,8.881995002914332e-08,1.9957116127132713e-05,0.0001363361526171584,9.720992317268013e-05,6.149903560712861e-06,2.5941933731438395e-05,1.866986736092096e-05,1.09216544702862e-06,0.00012178988148502422,8.521687325623342e-05,5.879123147744408e-06,2.446823832366286e-05,1.715905796780238e-05,1.0404877787470504e-06,1.8411027614690176e-06,1.5514368407649102e-06,9.637919857949458e-08
Asset_-_No_drift,0.0009621431588958809,0.00034193817656911807,0.0009784855649583612,0.0018281814970175603,0.0024570524645475852,0.002399772912759272,1.7269748903867206e-06,1.4361069278506033e-06,1.209709711489645e-07,2.2250819644652303e-05,0.00011634156880334162,8.766936981695176e-05,6.721791270456026e-06,1.2289503272392517e-05,9.507093668190355e-06,7.206461565294319e-07,0.00011061913020767822,8.671240862408743e-05,6.2023212830446676e-06,1.2822158931214799e-05,9.546862886579734e-06,7.596953221611266e-07,1.8373557969795793e-06,1.5257412691651892e-06,1.290418823756473e-07
SEAGenerator_-_Concept_2X_Gradual,0.0004359127629117773,0.0016203403954465484,0.00043980197684229577,0.0004343939095755978,0.0004297044221042885,0.00042922501514127336,7.850616494624096e-07,7.571368932371755e-07,1.0874729939002421e-07,4.551171620489848e-06,1.093455271782067e-05,8.93528858651951e-06,1.6576368245921827e-06,1.853360656205806e-06,1.637047354411901e-06,2.7699357372501567e-07,1.124726983436355e-05,8.776035751328358e-06,1.6155642620597868e-06,1.958732439340536e-06,1.6977290371771136e-06,2.8449307458862417e-07,8.323015358125082e-07,7.940267722753263e-07,1.1495046244354162e-07
SEAGenerator_-_Concept_2X_Sudden,0.0004327389850407939,0.0016474152512835434,0.00043777438957312006,0.00043454436887436625,0.00043075651453777124,0.0004268672726007342,7.855747789511284e-07,7.589574760986005e-07,1.0930848701301153e-07,4.731767219280004e-06,1.0983353644209052e-05,8.922564264108413e-06,1.5807188494449945e-06,1.8599906920483443e-06,1.64216584758001e-06,2.6810652083543983e-07,1.0807366256631843e-05,8.747626709437626e-06,1.5812898670891307e-06,1.9201489484401477e-06,1.6844757547261258e-06,2.7897825239673735e-07,8.214218491788097e-07,7.930382514015678e-07,1.144641245231567e-07
SEAGenerator_-_Concept_3X_Gradual,0.00031507125477482986,0.001691324501800077,0.0003189299846206787,0.0003176561891485799,0.0003160493531174673,0.00031273884636283606,7.85392348866993e-07,7.579904752561251e-07,1.0912926377029142e-07,4.5239267547332225e-06,1.1184374745602066e-05,9.566049111968269e-06,1.6327816355262688e-06,1.8489523605133307e-06,1.6449033821844523e-06,2.688274993586139e-07,1.1400735014967763e-05,9.218323002751486e-06,1.6351866794796482e-06,1.911917697893996e-06,1.69077479431006e-06,2.7478557552058595e-07,8.274642387494275e-07,7.979752386808994e-07,1.1536828293871678e-07
SEAGenerator_-_Concept_3X_Sudden,0.0003170272554188414,0.001662475623331107,0.0003217810584650374,0.0003182396703480638,0.00031355772758601705,0.000311540796821342,7.840129466472192e-07,7.57648473522591e-07,1.0903443591055249e-07,4.585514463947587e-06,1.1545678194773785e-05,9.411034243514976e-06,1.7183681636592504e-06,1.8994418398864513e-06,1.645802641745586e-06,2.7589353399049494e-07,1.1762557316906114e-05,9.638075413999982e-06,1.7401426517217442e-06,1.9735953959160174e-06,1.7368286126366192e-06,2.857319355120187e-07,8.378824583025339e-07,8.063405095683885e-07,1.1586544579381254e-07
SEAGenerator_-_Concept_4X_Gradual,0.00037591517151057337,0.0013676472857969667,0.00037838385532693475,0.00036308447639985143,0.000356918626176159,0.000370434856518648,7.802560157869565e-07,7.570052357745327e-07,1.0901484638348588e-07,4.241501578970228e-06,1.0459739848395211e-05,8.548068607887446e-06,1.4983022078924786e-06,1.8769973461410916e-06,1.6709776970558064e-06,2.7710384197014794e-07,1.061888032863754e-05,8.724706328414495e-06,1.5578668183660767e-06,1.950679761549627e-06,1.7399715344617053e-06,2.8139893268408346e-07,8.217799925947978e-07,7.985320940786242e-07,1.1421237360227445e-07
SEAGenerator_-_Concept_4X_Sudden,0.0003879034161984877,0.0013727083699963788,0.0003810073644277702,0.0003643282358491916,0.0003646150650979541,0.0003733473113282824,7.809734903637543e-07,7.56901977331724e-07,1.087585265905237e-07,4.3780301327822365e-06,1.0456006113568537e-05,8.64357714051135e-06,1.497030759403617e-06,1.8841864260992485e-06,1.6790095482844585e-06,2.7742887449580026e-07,1.053726029758093e-05,8.631527250195227e-06,1.4745822285726027e-06,1.9564938639694403e-06,1.7153592063156154e-06,2.826661477055547e-07,8.205829310337842e-07,7.966651616619446e-07,1.1448300302487846e-07
SEAGenerator_-_No_drift,0.0006538113527791433,0.0022039487886171857,0.000673827155870082,0.0006670290531617368,0.0006581827345356886,0.0006518209148777436,7.894840366015656e-07,7.5576929982115e-07,1.0884479921975447e-07,4.4412238795111275e-06,1.075864154868783e-05,8.718062738649023e-06,1.537666809324936e-06,1.7435193953130857e-06,1.5182429961629192e-06,2.509482631585811e-07,1.0691681420994786e-05,8.750293023716014e-06,1.5047722716228835e-06,1.7789858593123746e-06,1.5439876173528706e-06,2.5602292481838196e-07,8.270155659157382e-07,7.908571617711428e-07,1.1309443429076159e-07
elecNormNew.arff,0.00011963157845079127,1.225297829356387e-05,4.036995775066699e-05,0.00011996015296536859,0.00015536925467418306,0.00021712798966745217,6.680728391886385e-07,6.774338931111707e-07,1.2030662437656e-07,9.885796278007765e-06,2.824477041953172e-05,2.495309982750284e-05,3.7176952447530844e-06,1.3148125948889118e-06,1.285835466059316e-06,1.8554757620673442e-07,2.6462989915727804e-05,2.3722411310300934e-05,3.579701521423888e-06,1.3594831948593711e-06,1.3316292350056327e-06,1.8768670454792554e-07,7.043586466823058e-07,7.13357070181863e-07,1.2812000123034967e-07
nomao.arff,4.366847837783577e-05,4.99220004015231e-06,7.4373244745528436e-06,1.1196212319003114e-05,1.5028413904106631e-05,1.824789413831909e-05,3.36915451974361e-05,3.339358776678062e-05,1.9982994834466772e-06,0.00021677545518839677,0.0005551524588428176,0.0004949391060446452,5.450814264282814e-05,5.462571159083268e-05,5.492091880871229e-05,3.129776817738875e-06,0.0005386009589855732,0.0004731822513513265,5.4522420429586095e-05,5.31891929932213e-05,5.315336329732607e-05,3.0235460963546043e-06,3.600272199772881e-05,3.6048268087637496e-05,2.1804995737633094e-06
spam_corpus.arff,0.00012330040834421637,1.532963923602997e-05,2.1240535298135045e-05,3.032415062966114e-05,3.508495812399376e-05,3.88582888813163e-05,0.00028309932627869724,0.0002809001310111881,7.458106313759837e-06,0.00021049840810585463,0.0023870069920040636,0.001569551716844752,0.0001602835097547258,0.000313453281895878,0.00030577553941877467,4.362034281795631e-06,0.0029020847555146305,0.0016527267665076314,0.0001718566358498457,0.00031050415718379345,0.0003107497584787825,4.164088226807628e-06,0.00030734762467185826,0.00030704701570927136,8.22127315861899e-06
