,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
Asset_-_Concept_3X_Sudden,269.44751457878266,139.0526445518261,271.9139661629565,386.6784201714783,541.7439367959565,513.6406078624348,23.796570143304344,19.99940344534783,3.86150109273913,59.43096413343478,128.77669656678262,106.7742988447826,49.903501225478266,56.59810215921739,47.19822657969565,21.381484686,125.91450729143479,102.0366787387826,49.01485640269566,56.115280390782615,46.530741678086954,20.703936579608698,25.248697771521737,21.242895378,4.178761653434783
Asset_-_Concept_4X_Gradual,277.86488601973923,150.499874039,282.83417635795655,400.58407061282605,532.4048137207392,539.9604414320436,26.139634222565213,21.492781609652173,3.3897143765652182,57.692550294913055,135.25876047647824,106.5706892431739,45.724001794217386,63.3149301758261,51.53092440178261,22.565956860565215,120.51653466556522,95.06637357691305,39.380644354000005,61.90473629243479,49.88008291521739,20.993214070043475,27.320720570695652,22.710424037695653,3.678273022043478
Asset_-_Concept_4X_Sudden,278.1005953500434,149.1184398714783,295.710272909826,410.6526769905653,536.2938361700434,536.5001243656521,26.439822819695653,21.63859467065218,3.536218503956522,62.508003371391304,137.64626419469565,111.09542532165214,48.3080167966087,64.02620520978262,52.10649800826087,22.6257738506087,129.93755214108697,103.11505770569565,46.57802038443479,62.6102693496087,49.94343309426086,21.30066680717391,27.775947321260876,22.690063772652174,3.829836098869566
Asset_-_No_drift,557.8086307226956,292.7133951893913,655.9882438266958,847.1270425696521,972.8706356437824,970.6424212432607,19.961292299130434,16.546674566173916,3.41691255273913,71.12017161004349,126.77567138673912,108.42513563952176,57.80932085639129,41.100505610869575,35.02736612017391,15.98145443121739,121.72309275578263,106.54556147356521,54.302105517391304,42.48701098782609,35.331869655260874,16.246637092478263,21.06256508452174,17.52477570217391,3.738859147347826
SEAGenerator_-_Concept_2X_Gradual,218.33734998760866,538.4932589858696,219.32387201300003,214.29621808973914,208.74994886704349,207.502578965,15.590501304043478,14.994313274782604,2.941590484434783,21.06900113456522,34.47179686104348,29.83659355556522,14.068110689130433,15.754255087173917,14.301863230652172,5.997503493043477,34.874900116739134,29.306874813869563,13.73197612952174,16.597286941913048,14.714718664434782,5.987887507217391,16.537271080173916,15.733839547999999,3.1251132051739132
SEAGenerator_-_Concept_2X_Sudden,213.28570706273914,570.0367032060435,214.97649457013046,214.70878333752168,208.72435148052176,207.80112332786956,15.645431175608692,15.076485412999999,3.0179253753043476,21.737900996782606,34.63724021247826,29.936679760260862,13.681904788434782,15.878395104347828,14.398701142391305,5.906842268217392,34.28560272178261,29.490585950826084,13.696907682565218,16.304049163913042,14.670143828956522,5.985003984347826,16.37286435656522,15.775610636956522,3.1783125227391307
SEAGenerator_-_Concept_3X_Gradual,159.40965839213044,550.2672563347827,161.42944294991304,163.2896077286087,158.99666112860868,158.35669553969564,15.612832334173907,15.026304826130431,2.9667442879130435,20.848890073391306,34.638927601608685,31.156166924521738,13.526959238782611,15.646767846391306,14.217490787173913,5.85235773926087,35.14995841973913,30.216938107217388,13.363538535956524,16.080885150739128,14.556990463478263,5.836404792434783,16.459086835086953,15.825102287782608,3.1552481419565224
SEAGenerator_-_Concept_3X_Sudden,160.53983856930435,569.4055931543913,167.78312607613046,160.94258295400002,164.0368158682174,163.75177904817392,15.678763868130439,15.10580982021739,3.055108228608696,21.12573892547826,35.87035391308695,30.79151615969565,14.152642455869566,16.142084227391305,14.348923035260869,6.078743876565217,36.23328591617391,31.28624764821739,13.972316989608695,16.608814999739135,15.019482687956522,6.0910167155217385,16.762110171826087,16.09436351960869,3.2709028819130426
SEAGenerator_-_Concept_4X_Gradual,203.6969212379565,477.49575169226085,198.6707994567391,197.0014711686087,195.5105658610435,195.2187833870435,15.484236166521738,14.995230423086957,2.9486358539130433,20.10634946626087,33.76631902078262,29.251861093869564,12.630562264652175,15.917899964086958,14.495872290130436,6.046027516565219,33.96349449230434,29.447279870695652,12.614547220782608,16.453978368434782,14.95896527865217,5.9535341604782595,16.32911861734782,15.825245625956523,3.1202837904347827
SEAGenerator_-_Concept_4X_Sudden,201.87307858665218,491.5472490877827,203.14989814243475,193.93182317504346,193.88492779317392,199.6766167002174,15.611931151521738,15.105152761086956,3.0521814971739123,20.584094607521738,33.81810916691304,29.53969137608695,12.711583731173915,16.060844824130434,14.66786038573913,6.096003607260868,33.83930185169565,29.414674006695652,12.509429309913045,16.611216020391304,14.931096347782614,6.070850698304349,16.434117119521737,15.923465594913043,3.2440272022608694
SEAGenerator_-_No_drift,361.86053811526085,917.3318192666957,384.7231035495217,390.3132194730001,357.0622663948696,376.19549469873914,15.67692989934782,14.977311498260871,2.9337582507826085,20.824254190608695,33.90180510669565,29.242329456913048,13.365964132130438,15.047788640347827,13.509674770956522,5.658058764217392,33.66742765891304,29.047325473695654,13.222012472217388,15.342972367869567,13.688526053347825,5.684894543347826,16.427128218956522,15.697950992565216,3.0732960098260866
elecNormNew.arff,68.6524827213913,24.41844803743479,46.90136851556522,68.81502049634783,78.33066164447828,90.65384610808697,6.7134522122608695,6.84127531126087,2.0424229715652173,21.123838649043474,36.147934648782616,33.72513659395651,16.290176655826084,8.01740108504348,7.884898356130434,3.7548268905217395,35.6671937366087,33.28915191656522,14.653256154652178,8.080422234173911,8.028892526608695,3.7488162910869565,7.086799710434784,7.226317364826087,2.181606861478261
nomao.arff,46.212349319434786,13.378769354391306,17.861586828956526,22.18073876808696,25.844429210043476,29.065214201999996,37.499414992956524,37.37770940452174,7.482453933347828,99.88091427221738,169.5320890781739,156.30923230126086,60.411612245434796,51.11469144773913,51.35752980347827,12.888306220695652,168.5369916978261,153.40401737730434,62.092587711,49.72835314,49.688102451739134,12.811551093173914,40.585814018608694,40.725855144956526,8.459744113956523
spam_corpus.arff,29.17594581721739,12.087800040521739,12.64828162778261,13.863898041521736,14.874801609086958,15.302066422391304,56.119255339913025,55.545727214782616,8.299192740782608,51.36163085347827,248.5679465638261,167.4046119017826,31.250920827695648,62.96747850669566,61.0483034178261,9.086961420086956,271.0759042510435,166.75313593713042,31.74720373726087,62.156935283260864,61.86773846800001,9.112724320869566,61.41994405352173,61.166802052347826,9.38766860573913
