,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
Asset_-_Concept_3X_Sudden,92.58710624350296,91.26648398158382,92.6103725900477,93.286240950892,93.1067514148531,93.09415194021277,92.46869188766631,90.55750158881631,79.70212344515872,93.48919956002355,93.40214671964871,93.50703642509427,93.37936332726784,93.2636181406285,93.3756975888722,93.25673599885013,93.41034180998567,93.16877744833448,93.19524389067054,93.40694034499813,93.4637065102994,93.31729053252182,92.395839137933,90.6695639411028,79.5580626718186
Asset_-_Concept_4X_Gradual,92.6380889255979,91.1905150869747,92.42030681712394,93.1932556074756,92.90134802001548,92.75852794218493,92.03080113561175,90.42082639171088,78.85844608513243,92.62258488860891,93.48296330835424,92.95746201134554,92.60114769965021,93.27023493332177,93.36950039266875,92.98111297481046,93.47484659298189,92.55997627702693,92.4585209687913,93.58283879907833,93.32051024933706,93.07088205992882,92.10701620391698,90.60481195018255,79.19654483169153
Asset_-_Concept_4X_Sudden,92.06025674716156,90.87637636979187,92.29285561162523,92.8103167232695,92.4116082394266,92.42283323741398,91.71385535027694,90.20406110703472,78.635874433677,92.75165712363636,92.89446315978624,92.76411272027461,92.73921649029656,92.72520150324253,92.87138077173798,92.80499914547009,92.93182227304685,92.46649467175337,92.60377900720329,92.83850623267499,92.94741726383084,92.91642932117882,91.68389777656296,90.22001202674255,78.52519455449375
Asset_-_No_drift,92.98258231792948,91.66198764632318,92.80239104501436,93.47227859019857,93.22679784304525,93.37884835571914,92.9885802905945,92.63009050775133,92.85140167005027,94.00520446823285,93.59629106531344,93.99812477584085,94.02825167082406,93.41885206319073,93.81466343005548,93.69619921794185,93.82348642142334,93.8124579181688,93.75934398558502,93.61307092067868,93.79625495170461,93.76304907874794,93.1389090481221,92.23252257080703,92.7745075422248
P2_-_No_drift,97.92631215891282,97.95105666559002,97.90570555146824,97.90929614402178,97.90249621245525,97.93217037613432,76.91942388379967,79.17536420922049,57.87154837382215,80.92038062921043,92.60281758864879,88.0493443369135,81.03327220264899,88.7846057026544,87.4354586198056,78.27996425154788,84.11834012992392,81.86666801441808,77.47344269015484,87.89179032752813,86.7573925041367,78.45583476412672,77.6758006689321,78.46507654469133,57.86168663157086
RTG_-_Concept_2X_Gradual,95.50509004113746,93.36955652187727,94.98481301029703,96.51256354304547,97.31146350822065,97.50240079043928,82.11657605322381,81.14474046503005,74.5528428047977,86.69820175605241,89.34928037048681,87.38234484366026,88.0382423339919,89.98741563686507,88.2649866630862,88.5332684113723,88.83117609163777,86.95949223441505,86.34329849718615,89.2554591437464,88.15360459831922,87.18613526598429,81.79743038776093,80.67298787698677,76.58164203467028
RTG_-_Concept_2X_Sudden,95.05065946124274,93.24437729224859,95.5478315243817,97.08474654583725,97.62394442238822,97.43519169855317,81.47009648405474,79.62756566906242,77.02594410179832,87.79841730530005,91.37336229433286,87.91675235821613,87.58867130081212,88.8033419731339,87.68237172768048,88.4994794617676,87.91846235136242,86.38191074498147,85.78553038363998,89.742991903249,87.48416470443811,86.93590430020944,83.51890108781436,80.81932514279305,75.28973474853275
RTG_-_Concept_3X_Gradual,94.55059169469183,92.34895077801451,95.23771605844514,96.2963675813,96.85899482588633,96.90126285986348,80.6748050264723,80.07235867964343,73.05560971846683,84.50525273554972,91.46837272635231,85.10088413710945,84.56933667505153,89.38551281435893,86.08222392228028,85.18755405970055,87.31260833207632,83.31479719946212,83.03964503166125,88.84028020477547,85.8618289753782,85.71270581759904,81.33633738805463,79.0255084469028,73.05884427701831
RTG_-_Concept_3X_Sudden,94.22662817527498,92.05854216392409,94.46524983934023,96.34001548309845,96.93173293846591,97.07363409677727,83.03698761086352,79.69828754925922,72.47223577904892,85.05432727410498,91.21413550197107,85.80519642107492,85.49971125787762,88.80100943169003,86.37470678784189,85.32192606108325,87.23941772961624,83.72253033475299,82.7319741386325,87.92362731643863,85.56363379120015,85.75039141935007,83.1099368613121,78.92937399273448,71.94029415262449
RTG_-_Concept_4X_Gradual,93.53403751549466,91.41115316958084,94.28245889310575,95.64466715677423,96.06405749733722,96.19032104136268,82.68093948158867,77.62520898695375,70.8313412595167,83.29500342833606,89.51351416383872,85.10095769047864,83.22966439650237,88.54877458266549,87.62746355664335,86.05075149987348,84.28205794629007,81.85278825468735,81.22715485941623,88.24815519528546,83.7605669580576,84.21610272140038,81.51888541621686,78.29502904157421,72.22453228397681
RTG_-_Concept_4X_Sudden,94.68212335325116,92.18976334624645,94.42165979223506,95.5729292972466,96.36503983855108,96.44420245789509,84.24331514558003,78.82201102118137,71.42549829494791,84.39075668265684,89.34214485955667,85.23850686716202,84.46993899517275,89.18307792061685,87.1991350929832,85.59465956368184,85.69267353706013,81.6315757110104,82.37408841227384,88.28796349088012,85.53648454749843,84.78483624510059,82.43928535026957,77.81400164518055,70.13222458338286
RTG_-_No_drift,96.77107692217456,94.0733541261402,96.1449863599442,97.33221668457917,98.06897897446824,97.89555455001744,84.413289155903,80.37782751900521,79.64494411835308,91.13791515829357,92.86553532253917,92.72493517818724,90.82284249300962,89.04407455919682,89.89463864810226,87.85992466547907,88.61042188510389,90.12210045424138,91.87269425334291,92.73235566587887,89.29490689399178,89.2570075742213,81.29026923624497,79.95635164035006,77.66711267288335
