learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
15000.0,1.431407,0.003229,309693.4035305048,0.063737,15689.473931939061,6.79047943237755E-8,14000.0,88.27142857142857,73.98835133468114,74.95041952707857,67.66443481685702,87.15587453412007,82.8493837476499,91.08867904048626,88.2608708372562,88.2313681868743,88.29037348763808,86.07820447687659,78.0862374483166,94.0701715054366,0.0,281288.0,10.0,7012.9,4789.833665634375,6776.0,3883.3113017973033,6.2,4.131182235954578,3.6,2.065591117977289,3.6,2.065591117977289,1.9000000000000001,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.509091,0.002966,337154.4167228591,0.062539,15990.022226130895,7.263928876775834E-8,15000.0,88.24,73.8500174570405,74.7711670480549,67.41178644005171,87.08748164295106,82.70927269162908,91.09000909182747,88.20710216591223,88.11612364243943,88.29808068938505,85.99592775173683,77.92759512375324,94.06426037972042,0.0,279384.0,10.0,7521.700000000001,5250.719676598839,6588.0,3888.364409077135,6.000000000000001,4.136557881996953,3.500000000000001,2.0682789409984763,3.500000000000001,2.0682789409984763,1.9000000000000001,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.59267,0.002941,340020.40122407343,0.068341,14632.504645820225,7.779929290422135E-8,16000.0,88.26875,73.91282442840922,74.8761879266497,67.49220644267405,87.1196531278293,82.7497472658763,91.11226857332261,88.24272405002922,88.1707794751273,88.31466862493116,86.02480974608113,77.95670995670996,94.09290953545232,0.0,279816.0,10.0,8036.4,5742.460606936909,6776.0,4268.6995157255515,6.2,4.541169697580373,3.6,2.2705848487901865,3.6,2.2705848487901865,1.9000000000000001,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.671197,0.003041,328839.19763235777,0.0633,15797.788309636651,8.271022904457318E-8,17000.0,88.25294117647059,73.8231747861834,74.79171926281242,67.32657068062828,87.07731914584224,82.65137694379288,91.12010316154564,88.21879575259443,88.12523156724713,88.31235993794174,85.9650046893244,77.81776541796172,94.11224396068705,0.0,286144.0,10.0,8546.900000000001,6267.714973488256,7328.0,4716.081235753072,6.8,5.028805910838963,3.9,2.5144029554194813,3.9,2.5144029554194813,1.9000000000000001,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.765499,0.002824,354107.64872521244,0.077197,12953.871264427375,8.869991533458233E-8,18000.0,88.28333333333333,73.8751893329622,74.81490327203248,67.40843764487715,87.11076818942487,82.67192506778407,91.14943975827772,88.28207530992897,88.27864537638183,88.28550524347614,85.97013537844975,77.73485784919654,94.20541290770298,0.0,289336.0,10.0,9047.5,6757.442386814046,7715.999999999999,4890.409662458418,7.2,5.202563470700446,4.1000000000000005,2.601281735350223,4.1000000000000005,2.601281735350223,1.9000000000000001,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.848893,0.002966,337154.4167228591,0.064798,15432.575079477763,9.403454559544722E-8,19000.0,88.18421052631578,73.64920467115861,74.6184284906727,67.13992974238874,87.00122631683031,82.51693793318277,91.07675185818196,88.18373019061613,88.18242343541944,88.18503694581281,85.85001648662052,77.53548953607493,94.1645434371661,0.0,304304.0,10.0,9959.0,6890.859727042613,9048.0,5739.1288537547225,8.8,6.285786435372358,4.9,3.142893217686179,4.9,3.142893217686179,2.3,1.4944341180973262,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.930834,0.00308,324675.32467532466,0.063635,15714.622456195491,9.950751272754537E-8,20000.0,88.155,73.54313290181128,74.49671654645277,66.91802820835078,86.93985396156073,82.4219039845663,91.06812954793952,88.09961782916203,87.94932699920824,88.24990865911582,85.8102281523467,77.54817090198269,94.0722854027107,0.0,317104.0,10.0,10470.5,7445.843303481481,10312.0,7214.508838290918,10.000000000000002,7.731609003162136,5.5,3.865804501581067,5.5,3.865804501581067,2.5,1.7795130420052185,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.01067,0.002461,406338.8866314506,0.060478,16534.93832468005,1.04919900883817E-7,21000.0,88.18571428571428,73.59739860414913,74.51463790446842,66.97284345047925,86.96793154981813,82.44782454899186,91.09635743764578,88.13415757042486,87.99456357595894,88.2737515648908,85.83216638674523,77.55889791028883,94.1054348632016,0.0,332408.0,10.0,11364.599999999999,7593.931571400358,11823.2,8085.346921712417,11.600000000000001,8.64355893779357,6.300000000000001,4.321779468896786,6.300000000000001,4.321779468896786,2.7,1.7029386365926402,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.087596,0.002812,355618.77667140827,0.058326,17145.012515859136,1.1023055676163898E-7,22000.0,88.28181818181818,73.82123094846729,74.68578161822467,67.24269377382466,87.07605447195171,82.60458839406209,91.16518163125428,88.22874104095388,88.08461649158153,88.37286559032623,85.95309860566681,77.76648456358785,94.13971264774577,0.0,335768.0,10.0,11866.0,8214.11537131865,12228.000000000002,8465.800480626613,12.0,9.006170724070863,6.5,4.503085362035431,6.5,4.503085362035431,2.7,1.7029386365926402,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.148879,0.001952,512295.08196721313,0.04519,22128.78955521133,1.1432020365984903E-7,23000.0,88.26521739130435,73.8238660796655,74.69766569794695,67.30070268960505,87.07859890314111,82.63303519722025,91.1389080403165,88.22839762958883,88.12791655229206,88.32887870688559,85.95838316595119,77.78316172016959,94.13360461173279,0.0,335336.0,10.0,12156.999999999998,8926.650584999205,12039.999999999998,9175.906615818527,11.799999999999999,9.761602782785666,6.3999999999999995,4.880801391392833,6.3999999999999995,4.880801391392833,2.6,1.9550504398153572,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.201448,0.002546,392772.9772191673,0.039622,25238.50386149109,1.1789526566656099E-7,24000.0,88.32916666666667,74.01355334057581,74.89468495115175,67.59227120212891,87.17315917327404,82.79166922651594,91.17044415723609,88.31460656979048,88.27459714398009,88.35461599560091,86.06084121185442,77.95002313743638,94.17165928627247,0.0,327720.0,10.0,11508.1,9560.142019516934,11288.0,9379.087849513347,11.0,9.977753031397176,6.0,4.988876515698588,6.0,4.988876515698588,2.4,1.8973665961010275,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.272433,0.002401,416493.12786339025,0.057555,17374.685083832854,1.2302606793534424E-7,25000.0,88.288,73.89838936802381,74.78253380415123,67.41960609769667,87.11529468911152,82.69912550224534,91.14765993469585,88.25923255712837,88.1804435483871,88.33802156586967,86.00063081304954,77.85936804628393,94.14189357981513,0.0,330792.0,10.0,12404.199999999999,9693.839519108113,11664.0,9029.220712036375,11.4,9.605553948974867,6.2,4.802776974487434,6.2,4.802776974487434,2.6,1.7126976771553504,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.34159,0.002251,444247.001332741,0.055669,17963.31890280048,1.2810418697487977E-7,26000.0,88.31153846153846,73.95904706683241,74.83021368229254,67.49732620320856,87.1440914379369,82.74569919945496,91.16235786779889,88.28147383365051,88.19898329702252,88.36396437027851,86.0356434027962,77.9274943856272,94.14379241996517,0.0,338904.0,10.0,12698.900000000001,10370.181316854807,12392.0,9519.98506067922,12.200000000000001,10.163114133418404,6.6,5.081557066709202,6.6,5.081557066709202,2.7,1.8287822299126937,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.402634,0.00183,546448.087431694,0.04875,20512.82051282051,1.325475668389764E-7,27000.0,88.35925925925926,74.07054288762333,74.89416087546928,67.60795630217459,87.19307522466664,82.8260750778646,91.19583181601726,88.30581481109567,88.15865999767361,88.45296962451773,86.10802987676672,78.10181368507831,94.11424606845513,0.0,339576.0,10.0,13085.8,10963.126204590448,12604.0,10710.318181807464,12.399999999999999,11.393955512561131,6.699999999999999,5.696977756280566,6.699999999999999,5.696977756280566,2.5,2.0138409955990952,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,2.475988,0.002101,475963.82674916706,0.058208,17179.769103903243,1.3793736493628886E-7,28000.0,88.38928571428572,74.13797149576475,74.93059839605183,67.69995032290113,87.22830646929121,82.87054112440066,91.21849760946489,88.34701315783573,88.23067429597218,88.46335201969927,86.13757708103876,78.12437909795351,94.15077506412402,0.0,345456.0,10.0,13495.1,11537.001058911857,13184.000000000002,10830.41314488459,13.2,11.679041056525145,7.1,5.839520528262573,7.1,5.839520528262573,2.6,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.544574,0.002166,461680.51708217914,0.05191,19264.110961279137,1.4286659319574633E-7,29000.0,88.35862068965518,74.06800606079308,74.86786272612224,67.61320030698388,87.19369198796872,82.82283504630101,91.19595264173577,88.31350680537578,88.18940296890237,88.43761064184918,86.10192007901081,78.07194244604317,94.13189771197847,0.0,352352.0,10.0,14104.000000000004,11962.142589575387,13720.0,11175.318837112036,13.6,11.89023876033521,7.3,5.945119380167605,7.3,5.945119380167605,2.6,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,2.602297,0.00157,636942.6751592357,0.044791,22325.913688017685,1.4715081158611508E-7,30000.0,88.36333333333334,74.07972582334381,74.87766263673001,67.61595547309834,87.19691002634232,82.83255470863044,91.19878986512039,88.3069252344274,88.15155955620682,88.46229091264796,86.11445410973113,78.11891290232818,94.10999531713409,0.0,357208.0,10.0,14704.699999999999,12390.626197519907,14271.999999999996,11465.987576790369,14.2,12.227473619317733,7.6000000000000005,6.1137368096588665,7.6000000000000005,6.1137368096588665,2.7,2.057506581601462,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,2.659512,0.001888,529661.0169491526,0.041295,24216.0067804819,1.5130034351100522E-7,31000.0,88.38709677419355,74.10873868535062,74.89364669781715,67.61424973011876,87.20981839202126,82.83589205683228,91.22507678057816,88.31854858535613,88.13026275743127,88.50683441328098,86.1285805401375,78.14158495997121,94.11557612030379,0.0,371440.0,10.0,15600.899999999998,12508.334052409484,15604.0,12075.163859021633,15.799999999999999,13.104706533659321,8.399999999999999,6.552353266829661,8.399999999999999,6.552353266829661,3.1,2.0789954839350235,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,2.729015,0.001923,520020.8008320333,0.051554,19397.13698258137,1.564723579275111E-7,32000.0,88.41875,74.15807439128409,74.9509969584319,67.63318777292577,87.23134773268936,82.85529237601776,91.25613439033597,88.33261039426067,88.09640924741761,88.56881154110373,86.15720632637252,78.2027770500393,94.11163560270572,0.0,373848.0,10.0,16200.499999999998,12992.396180073943,15988.000000000002,12159.594291477546,16.0,12.935738607954837,8.5,6.467869303977419,8.5,6.467869303977419,3.1,2.0789954839350235,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,2.789368,0.002504,399361.0223642172,0.042615,23465.915757362432,1.6080521558721856E-7,33000.0,88.42727272727274,74.15899139890374,74.94916366021647,67.59989819292443,87.22945839197226,82.84443645838012,91.26866183497565,88.32511778697925,88.04545020528978,88.6047853686687,86.16064889802182,78.22361723786901,94.09768055817463,0.0,371208.0,10.0,16592.0,13626.355312816084,15800.0,13031.050780518217,15.799999999999999,13.862819979274699,8.399999999999999,6.931409989637349,8.399999999999999,6.931409989637349,2.9000000000000004,2.282785822435191,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.852948,0.001524,656167.9790026246,0.049084,20373.237714937655,1.657305485506852E-7,34000.0,88.46470588235294,74.25785131287971,75.03024129369072,67.75466578969005,87.28138153014238,82.9196063060709,91.29179803721303,88.38445277764487,88.16447490275976,88.60443065252996,86.20550437903094,78.26372903650115,94.14727972156072,0.0,376200.0,10.0,17095.9,14165.00750637131,16147.199999999999,12990.088091395772,16.2,13.830722645215937,8.6,6.915361322607969,8.6,6.915361322607969,2.9000000000000004,2.282785822435191,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,2.928345,0.002278,438981.56277436344,0.054985,18186.7782122397,1.7149081616558957E-7,35000.0,88.46571428571428,74.27008476145545,75.075631289745,67.77360900455017,87.28583488856549,82.93528342562456,91.28886779017327,88.38094037959198,88.14808158864228,88.61379917054167,86.21753558962776,78.30459770114942,94.1304734781061,0.0,388840.0,10.0,17998.5,14293.324994167344,17468.0,13450.012804620093,17.6,14.331007563244738,9.3,7.165503781622369,9.3,7.165503781622369,3.1,2.0789954839350235,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,3.000222,0.001509,662690.5235255136,0.050308,19877.554265723145,1.7675751711345376E-7,36000.0,88.48888888888888,74.30522178471998,75.12903613011642,67.80609073958979,87.30516798453367,82.94650205761317,91.31236897274634,88.41017709279429,88.19462676117966,88.62572742440891,86.22744017190922,78.2878893808747,94.16699096294374,0.0,392888.0,10.0,18502.100000000002,14892.594979086456,17868.0,13447.805273228292,18.0,14.30617582258329,9.5,7.153087911291645,9.5,7.153087911291645,3.1999999999999997,2.1499353995462798,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,3.058814,0.001511,661813.3686300464,0.043338,23074.438137431353,1.8133612959335242E-7,37000.0,88.47837837837838,74.29163630622642,75.09784450026285,67.7972503399305,87.29757062585055,82.94458891778355,91.30088766452403,88.39766411299011,88.17625042531473,88.61907780066551,86.22452151865743,78.29896517863887,94.15007785867598,0.0,394624.0,10.0,19403.8,15005.447024330862,18039.2,13656.530589184551,18.2,14.551059526142188,9.6,7.275529763071094,9.6,7.275529763071094,3.1999999999999997,2.1499353995462798,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,3.117195,0.001672,598086.1244019138,0.042755,23389.077300900477,1.8589050930614267E-7,38000.0,88.48157894736842,74.30548494830923,75.07261233555442,67.81617647058825,87.30322072759726,82.95892544286549,91.30080492894763,88.39740826919287,88.16617014233698,88.62864639604877,86.235789807455,78.33247555326814,94.13910406164186,0.0,396264.0,10.0,19802.399999999998,15712.807869873403,18056.0,13677.995954573658,18.2,14.551059526142188,9.6,7.275529763071094,9.6,7.275529763071094,3.1999999999999997,2.1499353995462798,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.184631,0.001896,527426.1603375528,0.053099,18832.746379404507,1.9153030337144926E-7,39000.0,88.5051282051282,74.36567444504779,75.11380037748417,67.88451894834873,87.3302543839507,83.0054209788089,91.31554987311365,88.41192193235044,88.1552459940414,88.6685978706595,86.27473406446533,78.42406876790831,94.12539936102236,0.0,396408.0,10.0,20395.199999999997,16207.847768562266,18215.199999999997,14312.994661417915,18.400000000000002,15.233005102226038,9.700000000000001,7.616502551113019,9.700000000000001,7.616502551113019,3.1,2.4244128727957577,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,3.256067,0.002082,480307.39673390967,0.054984,18187.108977156993,1.9739759795367712E-7,40000.0,88.5275,74.39598087981794,75.15026804570314,67.90011191941804,87.34579794765288,83.01188316736386,91.33938513220224,88.43269407122565,88.17238125196603,88.69300689048526,86.28529477741841,78.42204658319926,94.14854297163755,0.0,397432.0,10.0,20692.7,16967.248935981213,18244.0,14644.43709323707,18.4,15.579188397060712,9.7,7.789594198530356,9.7,7.789594198530356,3.1,2.4244128727957577,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,3.335727,0.002473,404367.1653861707,0.058589,17068.050316612334,2.0373134971906735E-7,41000.0,88.55121951219512,74.44559275704495,75.1784675585638,67.95029359552096,87.36917695593081,83.04313272162418,91.35829743363158,88.45158727986947,88.17798235519754,88.72519220454139,86.31293796669685,78.47340752372499,94.15246840966873,0.0,400952.0,10.0,21280.500000000004,17462.98369090715,18591.199999999997,14551.58411231498,18.8,15.476146520084098,9.9,7.738073260042049,9.9,7.738073260042049,3.1999999999999997,2.440400695696417,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,3.400277,0.001668,599520.3836930456,0.047774,20931.887637627162,2.0895506374124017E-7,42000.0,88.57619047619048,74.49647819645556,75.24379546979,67.99412981122008,87.39205269097857,83.07464371384225,91.37856680802126,88.46582510611725,88.16262353998204,88.76902667225248,86.34403395871163,78.54188900747066,94.14617890995261,0.0,408400.0,10.0,22174.4,17590.356778644375,19326.4,14183.09017574567,19.599999999999998,15.086417732516887,10.299999999999999,7.543208866258444,10.299999999999999,7.543208866258444,3.4,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,3.456053,0.001967,508388.40874428063,0.039952,25030.0360432519,2.134288869508438E-7,43000.0,88.57906976744187,74.51303707522804,75.25695284159613,68.02318010157575,87.3995588337122,83.09291837367026,91.37710041613259,88.46866613634101,88.16481589713618,88.77251637554585,86.35598244123751,78.57282375154632,94.13914113092869,0.0,412544.0,10.0,22779.5,18060.756156497002,19735.2,14308.393285061746,20.2,15.237380935639097,10.599999999999998,7.618690467819547,10.599999999999998,7.618690467819547,3.4,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.516816,0.001813,551571.9801434088,0.045111,22167.542284586907,2.183742322814133E-7,44000.0,88.54318181818182,74.43580728909261,75.19192913385825,67.94684300883829,87.36400435731225,83.04235207050829,91.34933845863435,88.4438131891782,88.17058361311523,88.71704276524116,86.31024422828146,78.47787385554426,94.14261460101866,0.0,407384.0,10.0,23174.8,18764.792776781615,19372.0,14962.773955535264,19.6,15.917844633548153,10.299999999999999,7.958922316774077,10.299999999999999,7.958922316774077,3.1999999999999997,2.440400695696417,0.0,0.0,0.0,0.0,1.0,0.0
46000.0,3.589721,0.00187,534759.3582887701,0.056154,17808.170388574275,2.2452543855955198E-7,45000.0,88.5111111111111,74.36105975608788,75.15498101782882,67.87023802125411,87.33049472522308,82.98894445906818,91.32666756140115,88.42502448691374,88.18881118881119,88.66123778501628,86.26272996273916,78.36813323390504,94.15732669157326,0.0,409784.0,10.0,23677.1,19348.41397720581,19536.0,15124.288633409065,19.799999999999997,16.11624439295127,10.399999999999999,8.058122196475635,10.399999999999999,8.058122196475635,3.1999999999999997,2.440400695696417,0.0,0.0,0.0,0.0,1.0,0.0
